Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
NGC   7093,323.7,46.01666667,,,,,NGC
NGC   7094,324.225,12.78333333,PK 66-28.1,Planetary Nebula,,1.6,NGC
NGC   7095,325.05,-42.53333333,ESO 027-G001,Galaxy,,1.6,NGC
NGC   7096,325.325,-63.9,IC 5121,Galaxy,13,2.7,NGC
NGC   7097,325.075,-42.53333333,ESO 287-48,Galaxy,12,2.5,NGC
NGC   7098,326.7,-75.11666667,ESO 48-5,Galaxy,,4.4,NGC
NGC   7099,325.1,-23.18333333,M 30,Globular Cluster,7.5,11,NGC
NGC   7100,324.875,8.883333333,,Galaxy,14,,NGC
NGC   7101,324.9,8.9,NPM1G +08.0499,?,,,NGC
NGC   7102,324.925,6.283333333,IC 5127,Galaxy,13.1,1.9,NGC
NGC   7103,324.975,-22.46666667,ESO 531-15,Galaxy,15,,NGC
NGC   7104,325.025,-22.41666667,ESO 531-18,Galaxy,15,,NGC
NGC   7105,325.125,-10.33333333,,,,,NGC
NGC   7106,325.65,-52.7,ESO 188-17,Galaxy,,1.8,NGC
NGC   7107,325.6,-44.8,ESO 287-52,Galaxy,13,1.9,NGC
NGC   7108,325.6,-6.783333333,NGC 7111,Galaxy,,,NGC
NGC   7109,325.475,-34.45,ESO 403-15,Galaxy,,,NGC
NGC   7110,325.55,-34.16666667,ESO 403-16,Galaxy,,,NGC
NGC   7111,325.45,-6.716666667,NGC 7108,Galaxy,15,,NGC
NGC   7112,325.575,12.5,UGC 11794,Galaxy,15,,NGC
NGC   7113,325.6,12.58333333,MCG 2-55-9,Galaxy,15,,NGC
NGC   7114,325.425,42.83333333,,,,,NGC
NGC   7115,325.9,-25.35,ESO 531-25,Galaxy,14,,NGC
NGC   7116,325.65,28.95,UGC 11796,Galaxy,14,,NGC
NGC   7117,326.425,-48.4,ESO 236-40,Galaxy,,,NGC
NGC   7118,326.525,-48.35,ESO 236-45,Galaxy,,,NGC
NGC   7119,326.575,-46.51666667,,Galaxy,14,1.1,NGC
NGC   7120,326.1,-6.55,MCG 1-55-6,Galaxy,15,,NGC
NGC   7121,326.225,-3.616666667,MCG 1-55-8,Galaxy,14,,NGC
NGC   7122,326.425,-8.816666667,,Double Star,,,NGC
NGC   7123,327.7,-70.33333333,ESO 75-27,Galaxy,,3.5,NGC
NGC   7124,327.025,-50.56666667,ESO 237-2,Galaxy,13,2.7,NGC
NGC   7125,327.325,-60.71666667,ESO 145-17,Galaxy,13,3.2,NGC
NGC   7126,327.325,-60.61666667,ESO 145-18,Galaxy,13,2.3,NGC
NGC   7127,325.975,54.61666667,OCL 219,Open Cluster,,3,NGC
NGC   7128,326,53.71666667,OCL 218,Open Cluster,9.7,3,NGC
NGC   7129,325.325,66.1,OCL 240,Cluster Nebulosity,12,8,NGC
NGC   7130,327.075,-34.95,IC 5135,Galaxy,,,NGC
NGC   7131,326.925,-13.18333333,MCG 2-55-2,Galaxy,14,,NGC
NGC   7132,326.8,10.23333333,MCG 2-55-13,Galaxy,14,,NGC
NGC   7133,325.65,66.05,,Nebula,,,NGC
NGC   7134,327.225,-12.98333333,,Asterism,,,NGC
NGC   7135,327.45,-34.88333333,ESO 403-35,Galaxy,11.7,2.8,NGC
NGC   7136,327.425,-11.78333333,,Double Star,,,NGC
NGC   7137,327.05,22.16666667,UGC 11815,Galaxy,12.4,1.5,NGC
NGC   7138,327.25,12.5,UGC 11817,Galaxy,15,,NGC
